weights	first 	second 	third 	hours	day
NA	0	0	0	NA	0
NA	1	0	0	NA	1
NA	2	0	0	NA	2
NA	3	0	0	NA	3
NA	4	0	0	NA	4
NA	5	0	0	NA	5
NA	6	0	0	NA	6
NA	7	0	0	NA	7
NA	8	0	0	NA	8
NA	9	0	0	NA	9
NA	10	0	0	NA	10
NA	11	0	0	NA	11
NA	12	0	0	NA	12
NA	13	0	0	NA	13
NA	14	0	0	NA	14
NA	15	0	0	NA	15
NA	16	0	0	NA	16
NA	17	0	0	NA	17
NA	18	0	0	NA	18
NA	19	0	0	NA	19
NA	20	0	0	NA	20
NA	21	0	0	NA	21
NA	22	0	0	NA	22
NA	23	0	0	NA	23
NA	24	0	0	NA	24
NA	25	0	0	NA	25
NA	26	0	0	NA	26
NA	27	0	0	NA	27
135.4	28	0	0	5.85	28
NA	29	0	0	NA	29
136.1	30	0	0	6.733333	30
135.3	31	0	0	5.8	31
136.3	32	0	0	5.45	32
135.5	32	0	0	5.9	32
NA	33	0	0	NA	33
136	34	0	0	5.9	34
135.7	35	0	0	5.85	35
135.9	36	0	0	6.166667	36
NA	37	0	0	NA	37
135.8	38	0	0	8.433333	38
136	38	0	0	5.85	38
134.9	39	0	0	5.733333	39
135.5	40	0	0	5.883333	40
135.1	41	0	0	5.85	41
134.7	42	0	0	6.083333	42
135	43	0	0	6.616667	43
135.5	44	0	0	6.916667	44
NA	45	0	0	NA	45
135.1	46	0	0	5.7	46
NA	47	0	0	NA	47
NA	48	0	0	NA	48
134.2	49	0	0	5.816667	49
135.2	50	0	0	6.45	50
NA	51	0	0	NA	51
NA	52	0	0	NA	52
134.9	53	0	0	5.85	53
NA	54	0	0	NA	54
135.2	55	0	0	5.883333	55
135.1	56	0	0	5.916667	56
134.8	57	0	0	5.6	57
NA	58	0	0	NA	58
134.7	59	0	0	5.866667	59
135.5	60	0	0	5.416667	60
134.5	61	0	0	6.366667	61
134.8	61	0	0	6.183333	61
NA	62	0	0	NA	62
134.5	63	0	0	5.683333	63
NA	64	0	0	NA	64
NA	65	0	0	NA	65
NA	66	0	0	NA	66
134.8	67	0	0	5.366667	67
NA	68	0	0	NA	68
NA	69	0	0	NA	69
133.7	70	0	0	5.633333	70
133.4	71	0	0	5.333333	71
133.5	72	0	0	5.85	72
NA	73	0	0	NA	73
133.4	74	0	0	5.8	74
132.4	75	0	0	5.866667	75
133.3	76	0	0	5.883333	76
NA	77	0	0	NA	77
133.7	78	0	0	6.316667	78
133	79	0	0	8.133333	79
133.2	80	0	0	5.85	80
133.7	81	0	0	5.75	81
NA	82	0	0	NA	82
134	83	0	0	5.866667	83
NA	84	0	0	NA	84
133.3	85	0	0	7.183333	85
NA	86	0	0	NA	86
NA	87	0	0	NA	87
NA	88	0	0	NA	88
134	89	0	0	5.883333	89
NA	90	0	0	NA	90
NA	91	0	0	NA	91
NA	91	1	0	NA	92
NA	91	2	0	NA	93
NA	91	3	0	NA	94
NA	91	4	0	NA	95
NA	91	5	0	NA	96
NA	91	6	0	NA	97
NA	91	7	0	NA	98
NA	91	8	0	NA	99
135.6	91	9	0	5.683333	100
135.1	91	10	0	5.85	101
NA	91	11	0	NA	102
NA	91	12	0	NA	103
136.1	91	13	0	4.866667	104
135.2	91	14	0	5.566667	105
NA	91	15	0	NA	106
NA	91	16	0	NA	107
135.4	91	17	0	7.433333	108
135.7	91	17	0	7.166667	108
135.9	91	18	0	5.9	109
136.8	91	19	0	5.95	110
136.2	91	20	0	5.816667	111
136.9	91	21	0	5.866667	112
NA	91	22	0	NA	113
NA	91	23	0	NA	114
NA	91	24	0	NA	115
NA	91	25	0	NA	116
137.5	91	26	0	5.933333	117
137.5	91	27	0	5.85	118
NA	91	28	0	NA	119
NA	91	29	0	NA	120
NA	91	30	0	NA	121
NA	91	31	0	NA	122
NA	91	32	0	NA	123
NA	91	33	0	NA	124
NA	91	34	0	NA	125
NA	91	35	0	NA	126
NA	91	36	0	NA	127
NA	91	37	0	NA	128
138.6	91	38	0	4.016667	129
138.9	91	39	0	5.183333	130
138.6	91	40	0	6.616667	131
NA	91	41	0	NA	132
140.5	91	42	0	4.983333	133
NA	91	43	0	NA	134
NA	91	44	0	NA	135
NA	91	45	0	NA	136
NA	91	46	0	NA	137
NA	91	47	0	NA	138
NA	91	48	0	NA	139
NA	91	49	0	NA	140
NA	91	50	0	NA	141
141.4	91	51	0	7.033333	142
NA	91	52	0	NA	143
141.2	91	53	0	5.683333	144
NA	91	54	0	NA	145
142.5	91	55	0	5.783333	146
NA	91	56	0	NA	147
142.8	91	57	0	6.7	148
NA	91	58	0	NA	149
143.5	91	59	0	5.15	150
145	91	60	0	5.783333	151
145.2	91	61	0	5.8	152
144.6	91	62	0	5.816667	153
NA	91	63	0	NA	154
144.4	91	64	0	7.016667	155
145	91	65	0	6.466667	156
NA	91	66	0	NA	157
145.6	91	67	0	5.983333	158
144.8	91	68	0	5.8	159
145.9	91	69	0	5.816667	160
145.9	91	70	0	4.616667	161
NA	91	71	0	NA	162
NA	91	72	0	NA	163
NA	91	73	0	NA	164
NA	91	74	0	NA	165
NA	91	75	0	NA	166
NA	91	76	0	NA	167
NA	91	77	0	NA	168
NA	91	78	0	NA	169
146	91	79	0	5.183333	170
145.4	91	80	0	5.25	171
145.7	91	81	0	5.25	172
145.6	91	82	0	5.716667	173
146.1	91	83	0	5.65	174
146.5	91	84	0	5.816667	175
NA	91	85	0	NA	176
NA	91	86	0	NA	177
NA	91	87	0	NA	178
NA	91	88	0	NA	179
NA	91	89	0	NA	180
NA	91	90	0	NA	181
NA	91	91	0	NA	182
NA	91	92	0	NA	183
NA	91	93	0	NA	184
NA	91	94	0	NA	185
149	91	95	0	5.316667	186
148.8	91	96	0	5.55	187
149.3	91	97	0	5.383333	188
149.6	91	98	0	5.333333	189
149.2	91	98	1	5.966667	190
149	91	98	2	6.9	191
148.5	91	98	3	5.683333	192
149.3	91	98	4	5.683333	193
149.4	91	98	5	5.716667	194
149.1	91	98	6	5.583333	195
149.6	91	98	7	5.566667	196
150.3	91	98	8	7.083333	197
149.6	91	98	9	6.933333	198
150.3	91	98	10	4.283333	199
149.8	91	98	11	5.883333	200
149.6	91	98	12	5.766667	201
150.1	91	98	13	5.45	202
150	91	98	14	5.833333	203
150.2	91	98	15	6.783333	204
150.7	91	98	16	6.7	205
150.8	91	98	17	7.25	206
152.3	91	98	18	5.733333	207
152.3	91	98	19	5.433333	208
152.1	91	98	20	5.683333	209
152.6	91	98	21	5.4	210
NA	91	98	22	NA	211
NA	91	98	23	NA	212
NA	91	98	24	NA	213
153.9	91	98	25	5.583333	214
153.8	91	98	25	5.566667	214
153.2	91	98	26	5.783333	215
153.8	91	98	27	5.633333	216
153.5	91	98	28	5.3	217
153.8	91	98	29	6.383333	218
